,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
923,120935,Marko Tomievi,M,26.0,174.0,80.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
926,121384,Dvid Tth,M,27.0,181.0,81.0,Hungary,HUN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
930,121925,Andrew Lawrence Trim,M,31.0,178.0,84.0,Australia,AUS,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
933,122683,Mihai urca,M,25.0,181.0,84.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
935,123234,Sergey Valeryevich Ulegin,M,30.0,181.0,77.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
936,123261,Stefan Ulm,M,24.0,188.0,83.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
937,123261,Stefan Ulm,M,28.0,188.0,83.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
944,124716,Adam Joseph Van Koeverden,M,26.0,182.0,85.0,Canada,CAN,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
945,124716,Adam Joseph Van Koeverden,M,30.0,182.0,85.0,Canada,CAN,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
947,125352,Roman Vartolomeu,M,22.0,185.0,82.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
950,125672,Andra Vehovar,M,24.0,177.0,70.0,Slovenia,SLO,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
957,126091,Aurel Vernescu,M,33.0,188.0,88.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
961,126832,Erzsbet Viski,F,20.0,173.0,69.0,Hungary,HUN,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
962,126832,Erzsbet Viski,F,24.0,173.0,69.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
964,126993,Erik Vlek,M,26.0,189.0,89.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
965,126993,Erik Vlek,M,34.0,189.0,89.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
967,127162,Jaroslav Volf,M,28.0,178.0,76.0,Czech Republic,CZE,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
974,127923,Katrin Wagner-Augustin,F,34.0,179.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
975,128036,Marta Walczykiewicz,F,29.0,165.0,63.0,Poland,POL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Silver
980,128262,Campbell Walsh,M,26.0,174.0,62.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
984,129126,Franziska Weber,F,23.0,176.0,70.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
985,129126,Franziska Weber,F,27.0,176.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
986,129126,Franziska Weber,F,27.0,176.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
988,129661,Friedhelm Wentzke,M,29.0,179.0,82.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
989,130128,Linnea Susanne Wiberg-Gunnarsson,F,20.0,172.0,64.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
990,130128,Linnea Susanne Wiberg-Gunnarsson,F,28.0,172.0,64.0,Sweden,SWE,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
992,130139,Tams Wichmann,M,20.0,187.0,86.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
993,130139,Tams Wichmann,M,24.0,187.0,86.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
999,130285,Tim Wiesktter,M,29.0,191.0,89.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
1001,131080,Kurt Oskar Wires (Virtanen-),M,29.0,176.0,74.0,Finland,FIN,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver
1008,131480,John Joseph Wood,M,26.0,180.0,80.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
1010,131562,Danielle Anne Woodward,F,27.0,171.0,62.0,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
1014,131936,Tomasz Wylenzek,M,25.0,183.0,92.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
1019,133516,Vasyl Petrovych Yurchenko,M,26.0,195.0,96.0,Soviet Union,URS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
1022,133587,Mark Zabel,M,27.0,190.0,86.0,Germany,GER,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1023,133587,Mark Zabel,M,30.0,190.0,86.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1024,133663,Mihai Zafiu,M,23.0,187.0,87.0,Romania,ROU,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1025,133663,Mihai Zafiu,M,31.0,187.0,87.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1031,133915,Holger Zander,M,21.0,176.0,78.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
1032,134355,"Theresia Maria ""Therese"" Zenz",F,24.0,165.0,65.0,Germany,GER,1956 Summer,1956,Summer,Melbourne,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
1033,134355,"Theresia Maria ""Therese"" Zenz",F,27.0,165.0,65.0,Germany,GER,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
1034,134355,"Theresia Maria ""Therese"" Zenz",F,27.0,165.0,65.0,Germany,GER,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
1040,135245,Milenko Zori,M,27.0,179.0,73.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
