,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
282,36937,Christian Wig Frederiksen,M,27.0,173.0,75.0,Denmark,DEN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
286,36960,Gert Fridolf Fredriksson,M,32.0,176.0,72.0,Sweden,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver
291,37033,Maciej Freimut,M,25.0,188.0,90.0,Poland,POL,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Silver
298,39264,Ion Geant,M,20.0,191.0,85.0,Romania,ROU,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
299,39295,Erika Gczi,F,29.0,167.0,62.0,Hungary,HUN,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
301,39854,Vanya Atanasova Gesheva (-Tsvetkova),F,20.0,167.0,65.0,Bulgaria,BUL,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
303,39854,Vanya Atanasova Gesheva (-Tsvetkova),F,28.0,167.0,65.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
305,39882,"Antonius Johannes ""Toon"" Geurts",M,32.0,182.0,83.0,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
307,40189,Csaba Giczy,M,23.0,179.0,75.0,Hungary,HUN,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
309,40191,Rebecca Giddens,F,26.0,165.0,63.0,United States,USA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
313,40340,Christian Gille,M,32.0,184.0,92.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
315,40727,Marcel Glvan,M,21.0,179.0,80.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
318,41750,Nina Yuryevna Gopova-Trofimova,F,27.0,172.0,71.0,Soviet Union,URS,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
321,42180,Petra Grabowski (-Borzym),F,20.0,173.0,70.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
327,43126,Andrzej Jerzy Gronowicz,M,25.0,176.0,75.0,Poland,POL,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
330,43218,Gisela Grothaus,F,17.0,164.0,58.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
332,43670,Brigitte Guibal,F,29.0,170.0,58.0,France,FRA,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
336,44205,Torsten Ren Gutsche,M,28.0,181.0,78.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
339,44400,Zsolt Gyulay,M,27.0,187.0,90.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
340,44400,Zsolt Gyulay,M,27.0,187.0,90.0,Hungary,HUN,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
347,45924,Ingrid Haralamow-Raimann,F,29.0,174.0,73.0,Switzerland,SUI,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
349,46302,Ingrid Hartmann,F,30.0,165.0,62.0,Germany,GER,1960 Summer,1960,Summer,Roma,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
352,46724,Frank Benjamin Havens,M,23.0,188.0,89.0,United States,USA,1948 Summer,1948,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver
356,46997,Liam Nicholas Heath,M,31.0,182.0,81.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
363,47794,Stefan Henze,M,23.0,177.0,75.0,Germany-1,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
364,47900,Sabrina Hering,F,24.0,167.0,70.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Silver
365,48288,Mihly Hesz (Hess),M,20.0,186.0,81.0,Hungary,HUN,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
368,48318,Olaf Heukrodt,M,18.0,190.0,82.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
370,48318,Olaf Heukrodt,M,26.0,190.0,82.0,East Germany,GDR,1988 Summer,1988,Summer,Seoul,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
385,49073,"Paulus Joan ""Paul"" Hoekstra",M,19.0,179.0,83.0,Netherlands,NED,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
393,49457,Knut Holmann,M,23.0,196.0,90.0,Norway,NOR,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
394,49457,Knut Holmann,M,27.0,196.0,90.0,Norway,NOR,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Silver
401,50084,Gbor Horvth,M,24.0,192.0,90.0,Hungary,HUN,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
404,50245,Richard Hounslow,M,30.0,183.0,78.0,Great Britain-2,GBR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
405,50245,Richard Hounslow,M,34.0,183.0,78.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Silver
409,50445,Vavinec Hradlek,M,25.0,168.0,78.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
413,51618,Josefa Idem-Guerrini,F,39.0,176.0,67.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
414,51618,Josefa Idem-Guerrini,F,43.0,176.0,67.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
415,51718,Andrei Igorov,M,24.0,183.0,87.0,Romania,ROU,1964 Summer,1964,Summer,Tokyo,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
416,51737,Andreas Ihle,M,25.0,184.0,80.0,Germany,GER,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
422,52786,Dimitrie Ivanov,M,24.0,192.0,90.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
423,52796,Haralambie Ivanov,M,27.0,175.0,78.0,Romania,ROU,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
425,53032,"Maria ""Mieke"" Jaapies (-Visser)",F,29.0,167.0,70.0,Netherlands,NED,1972 Summer,1972,Summer,Munich,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
427,53393,Henning Lynge Jakobsen,M,22.0,184.0,72.0,Denmark,DEN,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
429,53668,Milan Jani,M,27.0,178.0,83.0,Yugoslavia,YUG,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver
430,54144,Daniel Jdraszko,M,24.0,192.0,92.0,Poland,POL,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Silver
436,55699,Luuka Jones,F,27.0,172.0,68.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Silver
438,55859,Istvn Jos,M,27.0,186.0,85.0,Hungary,HUN,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
